Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Broker_Status__c,Broker_Tier__c,Employment_Status_Borrower_2__c,Employment_Status__c,Mortgage_Position__c,Mortgage_Purpose__c,Occupancy_Type__c,Property_Type__c,Stage__c,Amount__c,Client_Risk_Rating__c,Credit_Score_Borrower_2__c,Credit_Score__c,Current_Term_In_Months__c,Global_Debt_Servicing_Ratio__c,Interest_Rate__c,Loan_Id__c,Loan_To_Value__c,Self_Employed__c,Total_Debt_Servicing_Ratio__c
a00QL00000DNhYHYA1,005QL00000BrRBpYAN,,Loan-0000000028,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Other,Pension,1,Purchase,Owner,Apartment Low Rise,Approved,529510,4,557,589,13,59,8.22,a006g000002FCVxAAO,44,,80.6
a00QL00000DNhYIYA1,005QL00000BrRBpYAN,,Loan-0000000029,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Key Account,Contract,Other,3,Equity Takeout,Rental,Apartment Low Rise,Declined,474701,4,429,748,51,63.6,6.9,a006g000002FCVyAAO,23,,94.5
a00QL00000DNhYJYA1,005QL00000BrRBpYAN,,Loan-0000000030,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Self-employed,Salary,3,Equity Takeout,Rental,Single,Declined,1264267,4,842,654,24,14.5,5.21,a006g000002FCVzAAO,77,,48.9
a00QL00000DNhYKYA1,005QL00000BrRBpYAN,,Loan-0000000031,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Self-employed,Contract,3,Equity Takeout,Rent To Own,Single,Declined,276409,3,811,431,19,42.4,8.02,a006g000002FCW0AAO,57,,65.1
a00QL00000DNhYLYA1,005QL00000BrRBpYAN,,Loan-0000000032,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Hourly,Commissions,2,Equity Takeout,Owner,Apartment Low Rise,Declined,511365,2,867,522,35,21.8,8.7,a006g000002FCW1AAO,57,,46.7
a00QL00000DNhYMYA1,005QL00000BrRBpYAN,,Loan-0000000033,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Salary,Other,1,Purchase,Rent To Own,Apartment High Rise,Declined,220830,5,687,564,2,13.8,7.4,a006g000002FCW2AAO,27,,77.7
a00QL00000DNhYNYA1,005QL00000BrRBpYAN,,Loan-0000000034,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Other,Pension,2,Equity Takeout,Rent To Own,Single,Declined,296309,2,763,892,22,76.1,7.8,a006g000002FCW3AAO,50,,96.1
a00QL00000DNhYOYA1,005QL00000BrRBpYAN,,Loan-0000000035,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Self-employed,1,Refinance,Rent To Own,Single,Declined,127154,5,535,473,10,32.8,8.29,a006g000002FCW4AAO,5,1,51.8
a00QL00000DNhYPYA1,005QL00000BrRBpYAN,,Loan-0000000036,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Non Key Account,Contract,Contract,3,Purchase Rent to Own,Rental,Row,Declined,1053188,5,438,578,50,93.6,5.9,a006g000002FCW5AAO,34,,94.2
a00QL00000DNhYQYA1,005QL00000BrRBpYAN,,Loan-0000000037,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Salary,Contract,1,Equity Takeout,Rental,Apartment Low Rise,Declined,1397337,5,859,690,56,77.2,6.75,a006g000002FCW6AAO,25,,92.2
a00QL00000DNhYRYA1,005QL00000BrRBpYAN,,Loan-0000000038,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Salary,1,Purchase,Rent To Own,Row,Declined,1369647,4,624,736,8,53.7,5.57,a006g000002FCW7AAO,65,,60.4
a00QL00000DNhYSYA1,005QL00000BrRBpYAN,,Loan-0000000039,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Salary,Contract,3,Refinance for Debt Consolidation,Rental,Single,Declined,481047,3,755,623,4,83,7.85,a006g000002FCW8AAO,51,,97.1
a00QL00000DNhYTYA1,005QL00000BrRBpYAN,,Loan-0000000040,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Commissions,2,Refinance,Owner,Single,Declined,133892,2,610,742,15,17.1,8.2,a006g000002FCW9AAO,64,,46.3
a00QL00000DNhYUYA1,005QL00000BrRBpYAN,,Loan-0000000041,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Salary,3,Purchase Rent to Own,Rental,Single,Declined,1454726,3,470,632,37,96.1,7.76,a006g000002FCWAAA4,64,,99.2
a00QL00000DNhYVYA1,005QL00000BrRBpYAN,,Loan-0000000042,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Commissions,Salary,2,Refinance,Owner,Semi-detached,Declined,123691,2,847,621,21,21.4,8.84,a006g000002FCWBAA4,54,,78.3
a00QL00000DNhYWYA1,005QL00000BrRBpYAN,,Loan-0000000043,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Self-employed,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,Declined,125042,4,631,670,12,18,4,a006g000002FCWCAA4,38,1,77.3
a00QL00000DNhYXYA1,005QL00000BrRBpYAN,,Loan-0000000044,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Non Key Account,Self-employed,Hourly,3,Purchase,Rental,Apartment Low Rise,Declined,610794,5,524,851,48,42.7,8.33,a006g000002FCWDAA4,59,,71.9
a00QL00000DNhYYYA1,005QL00000BrRBpYAN,,Loan-0000000045,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Salary,Other,2,Purchase,Owner,Semi-detached,Declined,758957,2,455,734,9,25.2,4.25,a006g000002FCWEAA4,53,,49.4
a00QL00000DNhYZYA1,005QL00000BrRBpYAN,,Loan-0000000046,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Salary,1,Purchase Rent to Own,Rental,Semi-detached,Declined,1161655,4,664,729,47,94.9,7.31,a006g000002FCWFAA4,16,,96.2
a00QL00000DNhYaYAL,005QL00000BrRBpYAN,,Loan-0000000047,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Salary,Salary,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,Declined,144169,5,565,549,32,60.4,7.61,a006g000002FCWGAA4,33,,94
a00QL00000DNhYbYAL,005QL00000BrRBpYAN,,Loan-0000000048,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Hourly,Pension,1,Refinance,Owner,Semi-detached,Declined,645735,3,621,596,55,33.1,8.16,a006g000002FCWHAA4,60,,39.5
a00QL00000DNhYcYAL,005QL00000BrRBpYAN,,Loan-0000000049,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Commissions,Commissions,2,Equity Takeout,Rent To Own,Row,Declined,342758,4,551,633,14,51.6,7.26,a006g000002FCWIAA4,23,,59.1
a00QL00000DNhYdYAL,005QL00000BrRBpYAN,,Loan-0000000050,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Pension,3,Refinance for Debt Consolidation,Rent To Own,Row,Approved,1099448,3,711,692,55,72.9,9.72,a006g000002FCWJAA4,60,,97.9
a00QL00000DNhYeYAL,005QL00000BrRBpYAN,,Loan-0000000051,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Self-employed,2,Refinance,Rent To Own,Row,Declined,173763,2,676,705,4,88.2,7.26,a006g000002FCWKAA4,64,1,90.1
a00QL00000DNhYfYAL,005QL00000BrRBpYAN,,Loan-0000000052,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Hourly,Self-employed,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,Declined,1104809,4,420,705,26,56,8.55,a006g000002FCWLAA4,22,1,73.6
a00QL00000DNhYgYAL,005QL00000BrRBpYAN,,Loan-0000000053,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Self-employed,Salary,1,Equity Takeout,Rent To Own,Apartment Low Rise,Approved,263839,3,524,830,5,27.8,8.55,a006g000002FCWMAA4,13,,75.1
a00QL00000DNhYhYAL,005QL00000BrRBpYAN,,Loan-0000000054,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Hourly,2,Purchase Rent to Own,Rent To Own,Apartment Low Rise,Declined,1429079,2,420,711,24,62.3,5.5,a006g000002FCWNAA4,78,,91.3
a00QL00000DNhYiYAL,005QL00000BrRBpYAN,,Loan-0000000055,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Commissions,Commissions,2,Refinance,Owner,Apartment Low Rise,Approved,264325,2,545,615,8,67.8,8.04,a006g000002FCWOAA4,34,,70.8
a00QL00000DNhYjYAL,005QL00000BrRBpYAN,,Loan-0000000056,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Self-employed,Salary,1,Equity Takeout,Owner,Single,Declined,421809,3,744,644,56,32,5.42,a006g000002FCWPAA4,18,,41.7
a00QL00000DNhYkYAL,005QL00000BrRBpYAN,,Loan-0000000057,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Other,Salary,3,Equity Takeout,Rent To Own,Apartment Low Rise,Declined,1233172,4,779,879,18,78.9,5.5,a006g000002FCWQAA4,9,,83.3
a00QL00000DNhYlYAL,005QL00000BrRBpYAN,,Loan-0000000058,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Self-employed,Hourly,1,Equity Takeout,Owner,Apartment High Rise,Declined,1499491,3,628,718,57,36.7,4.55,a006g000002FCWRAA4,14,,95.1
a00QL00000DNhYmYAL,005QL00000BrRBpYAN,,Loan-0000000059,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Non Key Account,Salary,Contract,1,Purchase Rent to Own,Rental,Single,Declined,115426,4,586,803,14,94.7,5.61,a006g000002FCWSAA4,52,,100
a00QL00000DNhYnYAL,005QL00000BrRBpYAN,,Loan-0000000060,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Non Key Account,Self-employed,Other,2,Purchase,Rent To Own,Semi-detached,Declined,370866,3,607,830,11,79.8,9.07,a006g000002FCWTAA4,53,,96
a00QL00000DNhYoYAL,005QL00000BrRBpYAN,,Loan-0000000061,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Hourly,Self-employed,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,Approved,1180200,4,469,826,40,82.5,4.67,a006g000002FCWUAA4,9,1,96.5
a00QL00000DNhYpYAL,005QL00000BrRBpYAN,,Loan-0000000062,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Hourly,Salary,1,Purchase,Owner,Apartment High Rise,Declined,1407422,3,465,409,29,80.8,4.59,a006g000002FCWVAA4,41,,86.2
a00QL00000DNhYqYAL,005QL00000BrRBpYAN,,Loan-0000000063,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Pension,Other,1,Refinance for Debt Consolidation,Owner,Semi-detached,Approved,348162,3,483,778,19,8.5,6.79,a006g000002FCWWAA4,40,,85.1
